SL NO,DATE,TRADING CODE,CLOSE PRICE,YCP*
1,2016-06-30,1JANATAMF,5,4.8
2,2016-06-29,1JANATAMF,4.8,4.8
3,2016-06-28,1JANATAMF,4.8,4.8
4,2016-06-27,1JANATAMF,4.8,4.9
5,2016-06-26,1JANATAMF,4.9,4.9
6,2016-06-23,1JANATAMF,4.9,4.6
7,2016-06-22,1JANATAMF,4.6,4.7
8,2016-06-21,1JANATAMF,4.7,4.7
9,2016-06-20,1JANATAMF,4.7,4.7
10,2016-06-19,1JANATAMF,4.7,4.9
11,2016-06-16,1JANATAMF,4.9,4.8
12,2016-06-15,1JANATAMF,4.8,4.8
13,2016-06-14,1JANATAMF,4.8,4.8
14,2016-06-13,1JANATAMF,4.8,4.7
15,2016-06-12,1JANATAMF,4.7,4.7
16,2016-06-09,1JANATAMF,4.7,4.7
17,2016-06-08,1JANATAMF,4.7,4.7
18,2016-06-07,1JANATAMF,4.7,4.7
19,2016-06-06,1JANATAMF,4.7,4.6
20,2016-06-05,1JANATAMF,4.6,4.7
21,2016-06-02,1JANATAMF,4.7,4.7
22,2016-06-01,1JANATAMF,4.7,4.6
23,2016-05-31,1JANATAMF,4.6,4.6
24,2016-05-30,1JANATAMF,4.6,4.7
25,2016-05-29,1JANATAMF,4.7,4.6
26,2016-05-26,1JANATAMF,4.6,4.6
27,2016-05-25,1JANATAMF,4.6,4.6
28,2016-05-24,1JANATAMF,4.6,4.7
29,2016-05-22,1JANATAMF,4.7,4.7
30,2016-05-19,1JANATAMF,4.7,4.6
31,2016-05-18,1JANATAMF,4.6,4.5
32,2016-05-17,1JANATAMF,4.5,4.6
33,2016-05-16,1JANATAMF,4.6,4.5
34,2016-05-15,1JANATAMF,4.5,4.5
35,2016-05-12,1JANATAMF,4.5,4.5
36,2016-05-11,1JANATAMF,4.5,4.6
37,2016-05-10,1JANATAMF,4.6,4.5
38,2016-05-09,1JANATAMF,4.5,4.5
39,2016-05-08,1JANATAMF,4.5,4.6
40,2016-05-05,1JANATAMF,4.6,4.6
41,2016-05-04,1JANATAMF,4.6,4.5
42,2016-05-03,1JANATAMF,4.5,4.5
43,2016-05-02,1JANATAMF,4.5,4.6
44,2016-04-28,1JANATAMF,4.6,4.5
45,2016-04-27,1JANATAMF,4.5,4.6
46,2016-04-26,1JANATAMF,4.6,4.6
47,2016-04-25,1JANATAMF,4.6,4.6
48,2016-04-24,1JANATAMF,4.6,4.6
49,2016-04-21,1JANATAMF,4.6,4.5
50,2016-04-20,1JANATAMF,4.5,4.6
51,2016-04-19,1JANATAMF,4.6,4.5
52,2016-04-18,1JANATAMF,4.5,4.5
53,2016-04-17,1JANATAMF,4.5,4.6
54,2016-04-13,1JANATAMF,4.6,4.5
55,2016-04-12,1JANATAMF,4.5,4.5
56,2016-04-11,1JANATAMF,4.5,4.6
57,2016-04-10,1JANATAMF,4.6,4.6
58,2016-04-07,1JANATAMF,4.6,4.7
59,2016-04-06,1JANATAMF,4.7,4.6
60,2016-04-05,1JANATAMF,4.6,4.6
61,2016-04-04,1JANATAMF,4.6,4.5
62,2016-04-03,1JANATAMF,4.5,4.5
63,2016-03-31,1JANATAMF,4.5,4.5
64,2016-03-30,1JANATAMF,4.5,4.5
65,2016-03-29,1JANATAMF,4.5,4.4
66,2016-03-28,1JANATAMF,4.4,4.4
67,2016-03-27,1JANATAMF,4.4,4.4
68,2016-03-24,1JANATAMF,4.4,4.4
69,2016-03-23,1JANATAMF,4.4,4.4
70,2016-03-22,1JANATAMF,4.4,4.4
71,2016-03-21,1JANATAMF,4.4,4.4
72,2016-03-20,1JANATAMF,4.4,4.4
73,2016-03-16,1JANATAMF,4.4,4.4
74,2016-03-15,1JANATAMF,4.4,4.5
75,2016-03-14,1JANATAMF,4.5,4.4
76,2016-03-13,1JANATAMF,4.4,4.5
77,2016-03-10,1JANATAMF,4.5,4.5
78,2016-03-09,1JANATAMF,4.5,4.5
79,2016-03-08,1JANATAMF,4.5,4.5
80,2016-03-07,1JANATAMF,4.5,4.4
81,2016-03-06,1JANATAMF,4.4,4.4
82,2016-03-03,1JANATAMF,4.4,4.5
83,2016-03-02,1JANATAMF,4.5,4.5
84,2016-03-01,1JANATAMF,4.5,4.5
85,2016-02-29,1JANATAMF,4.5,4.4
86,2016-02-28,1JANATAMF,4.4,4.5
87,2016-02-25,1JANATAMF,4.5,4.5
88,2016-02-24,1JANATAMF,4.5,4.5
89,2016-02-23,1JANATAMF,4.5,4.4
90,2016-02-22,1JANATAMF,4.4,4.5
91,2016-02-18,1JANATAMF,4.5,4.5
92,2016-02-17,1JANATAMF,4.5,4.4
93,2016-02-16,1JANATAMF,4.4,4.5
94,2016-02-15,1JANATAMF,4.5,4.5
95,2016-02-14,1JANATAMF,4.5,4.4
96,2016-02-11,1JANATAMF,4.4,4.5
97,2016-02-10,1JANATAMF,4.5,4.5
98,2016-02-09,1JANATAMF,4.5,4.5
99,2016-02-08,1JANATAMF,4.5,4.5
100,2016-02-07,1JANATAMF,4.5,4.5
101,2016-02-04,1JANATAMF,4.5,4.5
102,2016-02-03,1JANATAMF,4.5,4.5
103,2016-02-02,1JANATAMF,4.5,4.4
104,2016-02-01,1JANATAMF,4.4,4.5
105,2016-01-31,1JANATAMF,4.5,4.5
106,2016-01-28,1JANATAMF,4.5,4.5
107,2016-01-27,1JANATAMF,4.5,4.6
108,2016-01-26,1JANATAMF,4.6,4.5
109,2016-01-25,1JANATAMF,4.5,4.5
110,2016-01-24,1JANATAMF,4.5,4.5
111,2016-01-21,1JANATAMF,4.5,4.5
112,2016-01-20,1JANATAMF,4.5,4.6
113,2016-01-19,1JANATAMF,4.6,4.6
114,2016-01-18,1JANATAMF,4.6,4.5
115,2016-01-17,1JANATAMF,4.5,4.4
116,2016-01-14,1JANATAMF,4.4,4.4
117,2016-01-13,1JANATAMF,4.4,4.4
118,2016-01-12,1JANATAMF,4.4,4.3
