SL NO,DATE,TRADING CODE,CLOSE PRICE,YCP*
1,2015-01-01,1JANATAMF,5.3,5.1
2,2015-01-01,1STICB,"1,119.9","1,116.2"
3,2015-01-01,1STPRIMFMF,16.8,16.4
4,2015-01-01,2NDICB,277,282
5,2015-01-01,3RDICB,235,235
6,2015-01-01,4THICB,220,220
7,2015-01-01,5THICB,192.7,192.7
8,2015-01-01,6THICB,56.8,56.9
9,2015-01-01,7THICB,92.2,93.2
10,2015-01-01,8THICB,66.1,65.8
11,2015-01-01,AAMRATECH,37.6,36.2
12,2015-01-01,ABB1STMF,6,6.3
13,2015-01-01,ABBANK,30.8,29.9
14,2015-01-01,ACI,387.3,389.9
15,2015-01-01,ACIFORMULA,129.2,127.6
16,2015-01-01,ACIZCBOND,"1,066.5","1,066.5"
17,2015-01-01,ACIZCBOND,"1,066.5","1,066.5"
18,2015-01-01,ACTIVEFINE,74,73.9
19,2015-01-01,AFCAGRO,50.2,49
20,2015-01-01,AFTABAUTO,69.9,67.2
21,2015-01-01,AGNISYSL,33.4,32.3
22,2015-01-01,AGRANINS,18.8,18.7
23,2015-01-01,AIBL1STIMF,4.6,4.5
24,2015-01-01,AIMS1STMF,29.3,28.7
25,2015-01-01,AL-HAJTEX,102.9,93.5
26,2015-01-01,ALARABANK,15.3,14.9
27,2015-01-01,ALLTEX,24.4,24.9
28,2015-01-01,AMBEEPHA,260.3,256.7
29,2015-01-01,AMCL(PRAN),201.8,196.1
30,2015-01-01,ANLIMAYARN,22.4,21.2
31,2015-01-01,ANWARGALV,39.6,40.2
32,2015-01-01,APEXFOODS,98.1,96.7
33,2015-01-01,APEXFOOT,443.1,443.5
34,2015-01-01,APEXSPINN,69.9,69.1
35,2015-01-01,APEXTANRY,139.4,137.2
36,2015-01-01,APOLOISPAT,20,19.9
37,2015-01-01,ARAMIT,284.5,282
38,2015-01-01,ARAMITCEM,39,39
39,2015-01-01,ARGONDENIM,41.8,41.2
40,2015-01-01,ASIAINS,22.5,22.5
41,2015-01-01,ASIAPACINS,19.7,19.2
42,2015-01-01,ATLASBANG,139.5,138.7
43,2015-01-01,AZIZPIPES,21.5,20.5
44,2015-01-01,BANGAS,287,283.9
45,2015-01-01,BANKASIA,16.9,16.7
46,2015-01-01,BATASHOE,"1,165","1,172.1"
47,2015-01-01,BATBC,"2,661","2,650.3"
48,2015-01-01,BAYLEASING,30.7,29.9
49,2015-01-01,BBS,47.2,46
50,2015-01-01,BDAUTOCA,23,22.7
51,2015-01-01,BDCOM,24,24
52,2015-01-01,BDFINANCE,15.9,15.8
53,2015-01-01,BDLAMPS,118.3,118.4
54,2015-01-01,BDSERVICE,6.3,6.3
55,2015-01-01,BDTHAI,47.3,46.6
56,2015-01-01,BDWELDING,15.8,15.6
57,2015-01-01,BEACHHATCH,25.3,24.9
58,2015-01-01,BEACONPHAR,17.7,18
59,2015-01-01,BEDL,33.9,33
60,2015-01-01,BENGALWTL,58.9,59.4
61,2015-01-01,BERGERPBL,"1,431.3","1,425.1"
62,2015-01-01,BEXIMCO,37.3,36.4
63,2015-01-01,BGIC,21.6,21.4
64,2015-01-01,BIFC,16.5,16.4
65,2015-01-01,BRACBANK,37,37.2
66,2015-01-01,BRACSCBOND,"1,030","1,030"
67,2015-01-01,BSC,509.5,507.5
68,2015-01-01,BSCCL,117.9,116.7
69,2015-01-01,BSRMSTEEL,89.6,87.7
70,2015-01-01,BXPHARMA,62.1,58.7
71,2015-01-01,BXSYNTH,12.5,12.5
72,2015-01-01,CENTRALINS,24.1,24.3
73,2015-01-01,CENTRALPHL,29.6,28.6
74,2015-01-01,CITYBANK,22,21.8
75,2015-01-01,CITYGENINS,18.9,18.6
76,2015-01-01,CMCKAMAL,20.8,20.5
