TICKERS,INDUSTRY
ABBANK,Bank
ALARABANK,Bank
BANKASIA,Bank
BRACBANK,Bank
CITYBANK,Bank
DHAKABANK,Bank
DUTCHBANGL,Bank
EBL,Bank
EXIMBANK,Bank
FIRSTSBANK,Bank
ICBIBANK,Bank
IFIC,Bank
ISLAMIBANK,Bank
JAMUNABANK,Bank
MERCANBANK,Bank
MTB,Bank
NBL,Bank
NCCBANK,Bank
ONEBANKLTD,Bank
PREMIERBAN,Bank
PRIMEBANK,Bank
PUBALIBANK,Bank
RUPALIBANK,Bank
SHAHJABANK,Bank
SIBL,Bank
SOUTHEASTB,Bank
STANDBANKL,Bank
TRUSTBANK,Bank
UCB,Bank
UTTARABANK,Bank
ARAMITCEM,Cement
CONFIDCEM,Cement
HEIDELBCEM,Cement
LHBL,Cement
MEGHNACEM,Cement
MICEMENT,Cement
PREMIERCEM,Cement
FUWANGCER,Ceramics Sector
MONNOCERA,Ceramics Sector
RAKCERAMIC,Ceramics Sector
SPCERAMICS,Ceramics Sector
STANCERAM,Ceramics Sector
IBBLPBOND,Corporate Bond
DEBARACEM,Debenture
DEBBDLUGG,Debenture
DEBBDWELD,Debenture
DEBBDZIPP,Debenture
DEBBXDENIM,Debenture
DEBBXFISH,Debenture
DEBBXKNI,Debenture
DEBBXTEX,Debenture
AFTABAUTO,Engineering
ANWARGALV,Engineering
APOLOISPAT,Engineering
ATLASBANG,Engineering
AZIZPIPES,Engineering
BBS,Engineering
BBSCABLES,Engineering
BDAUTOCA,Engineering
BDLAMPS,Engineering
BDTHAI,Engineering
BENGALWTL,Engineering
BSRMLTD,Engineering
BSRMSTEEL,Engineering
COPPERTECH,Engineering
DESHBANDHU,Engineering
ECABLES,Engineering
GOLDENSON,Engineering
GPHISPAT,Engineering
IFADAUTOS,Engineering
KAY&QUE,Engineering
KDSALTD,Engineering
MONNOSTAF,Engineering
NAHEEACP,Engineering
NAVANACNG,Engineering
NPOLYMAR,Engineering
NTLTUBES,Engineering
OAL,Engineering
OIMEX,Engineering
QUASEMIND,Engineering
RANFOUNDRY,Engineering
RENWICKJA,Engineering
RSRMSTEEL,Engineering
RUNNERAUTO,Engineering
SALAMCRST,Engineering
SHURWID,Engineering
SINGERBD,Engineering
SSSTEEL,Engineering
WMSHIPYARD,Engineering
YPL,Engineering
BAYLEASING,Financial Institutions
BDFINANCE,Financial Institutions
BIFC,Financial Institutions
DBH,Financial Institutions
FAREASTFIN,Financial Institutions
FASFIN,Financial Institutions
FIRSTFIN,Financial Institutions
GSPFINANCE,Financial Institutions
ICB,Financial Institutions
IDLC,Financial Institutions
ILFSL,Financial Institutions
