SL NO,DATE,TRADING CODE,CLOSE PRICE,YCP*
1,2018-06-28,1JANATAMF,6.2,6.1
2,2018-06-27,1JANATAMF,6.1,6.1
3,2018-06-26,1JANATAMF,6.1,6.1
4,2018-06-25,1JANATAMF,6.1,6.1
5,2018-06-24,1JANATAMF,6.1,6.1
6,2018-06-21,1JANATAMF,6.1,6.1
7,2018-06-20,1JANATAMF,6.1,6.1
8,2018-06-19,1JANATAMF,6.1,6.1
9,2018-06-18,1JANATAMF,6.1,6.2
10,2018-06-12,1JANATAMF,6.2,6.2
11,2018-06-11,1JANATAMF,6.2,6.1
12,2018-06-10,1JANATAMF,6.1,6.2
13,2018-06-07,1JANATAMF,6.2,6.1
14,2018-06-06,1JANATAMF,6.1,6.1
15,2018-06-05,1JANATAMF,6.1,6.2
16,2018-06-04,1JANATAMF,6.2,6.1
17,2018-06-03,1JANATAMF,6.1,6.2
18,2018-05-31,1JANATAMF,6.2,6.2
19,2018-05-30,1JANATAMF,6.2,6.2
20,2018-05-29,1JANATAMF,6.2,6.1
21,2018-05-28,1JANATAMF,6.1,6.1
22,2018-05-27,1JANATAMF,6.1,6.1
23,2018-05-24,1JANATAMF,6.1,6.2
24,2018-05-23,1JANATAMF,6.2,6.2
25,2018-05-22,1JANATAMF,6.2,6.1
26,2018-05-21,1JANATAMF,6.1,6.1
27,2018-05-20,1JANATAMF,6.1,6.2
28,2018-05-17,1JANATAMF,6.2,6.3
29,2018-05-16,1JANATAMF,6.3,6.2
30,2018-05-15,1JANATAMF,6.2,6.3
31,2018-05-14,1JANATAMF,6.3,6.3
32,2018-05-13,1JANATAMF,6.3,6.3
33,2018-05-10,1JANATAMF,6.3,6.4
34,2018-05-09,1JANATAMF,6.4,6.5
35,2018-05-08,1JANATAMF,6.5,6.4
36,2018-05-07,1JANATAMF,6.4,6.3
37,2018-05-06,1JANATAMF,6.3,6.4
38,2018-05-03,1JANATAMF,6.4,6.4
39,2018-04-30,1JANATAMF,6.4,6.4
40,2018-04-26,1JANATAMF,6.4,6.3
41,2018-04-25,1JANATAMF,6.3,6.4
42,2018-04-24,1JANATAMF,6.4,6.3
43,2018-04-23,1JANATAMF,6.3,6.2
44,2018-04-22,1JANATAMF,6.2,6.2
45,2018-04-19,1JANATAMF,6.2,6.3
46,2018-04-18,1JANATAMF,6.3,6.2
47,2018-04-17,1JANATAMF,6.2,6.1
48,2018-04-16,1JANATAMF,6.1,6.2
49,2018-04-15,1JANATAMF,6.2,6.3
50,2018-04-12,1JANATAMF,6.3,6.3
51,2018-04-11,1JANATAMF,6.3,6.2
52,2018-04-10,1JANATAMF,6.2,6.3
53,2018-04-09,1JANATAMF,6.3,6.3
54,2018-04-08,1JANATAMF,6.3,6.3
55,2018-04-05,1JANATAMF,6.3,6.2
56,2018-04-04,1JANATAMF,6.2,6.4
57,2018-04-03,1JANATAMF,6.4,6.2
58,2018-04-02,1JANATAMF,6.2,6.2
59,2018-04-01,1JANATAMF,6.2,6.1
60,2018-03-29,1JANATAMF,6.1,6
61,2018-03-28,1JANATAMF,6,6.1
62,2018-03-27,1JANATAMF,6.1,6.2
63,2018-03-25,1JANATAMF,6.2,6.1
64,2018-03-22,1JANATAMF,6.1,6.3
65,2018-03-21,1JANATAMF,6.3,6.5
66,2018-03-20,1JANATAMF,6.5,6.2
67,2018-03-19,1JANATAMF,6.2,6.2
68,2018-03-18,1JANATAMF,6.2,6.2
69,2018-03-15,1JANATAMF,6.2,5.9
70,2018-03-14,1JANATAMF,5.9,6.1
71,2018-03-13,1JANATAMF,6.1,6
72,2018-03-12,1JANATAMF,6,6.1
73,2018-03-11,1JANATAMF,6.1,6.1
74,2018-03-08,1JANATAMF,6.1,6.2
75,2018-03-07,1JANATAMF,6.2,6.2
76,2018-03-06,1JANATAMF,6.2,6.2
77,2018-03-05,1JANATAMF,6.2,6.2
78,2018-03-04,1JANATAMF,6.2,6.1
79,2018-03-01,1JANATAMF,6.1,6.2
80,2018-02-28,1JANATAMF,6.2,6.1
81,2018-02-27,1JANATAMF,6.1,6.2
82,2018-02-26,1JANATAMF,6.2,6.2
83,2018-02-25,1JANATAMF,6.2,6.2
84,2018-02-22,1JANATAMF,6.2,6.2
85,2018-02-20,1JANATAMF,6.2,6.2
86,2018-02-19,1JANATAMF,6.2,6.2
87,2018-02-18,1JANATAMF,6.2,6.2
88,2018-02-15,1JANATAMF,6.2,6.2
89,2018-02-14,1JANATAMF,6.2,6.3
90,2018-02-13,1JANATAMF,6.3,6.3
91,2018-02-12,1JANATAMF,6.3,6.4
92,2018-02-11,1JANATAMF,6.4,6.4
93,2018-02-08,1JANATAMF,6.4,6.3
94,2018-02-07,1JANATAMF,6.3,6.4
95,2018-02-06,1JANATAMF,6.4,6.2
96,2018-02-05,1JANATAMF,6.2,6.3
97,2018-02-04,1JANATAMF,6.3,6.5
98,2018-02-01,1JANATAMF,6.5,6.4
99,2018-01-31,1JANATAMF,6.4,6.5
100,2018-01-30,1JANATAMF,6.5,6.4
101,2018-01-29,1JANATAMF,6.4,6.5
102,2018-01-28,1JANATAMF,6.5,6.5
103,2018-01-25,1JANATAMF,6.5,6.6
104,2018-01-24,1JANATAMF,6.6,6.6
105,2018-01-23,1JANATAMF,6.6,6.6
106,2018-01-22,1JANATAMF,6.6,6.6
107,2018-01-21,1JANATAMF,6.6,6.6
108,2018-01-18,1JANATAMF,6.6,6.6
109,2018-01-17,1JANATAMF,6.6,6.6
110,2018-01-16,1JANATAMF,6.6,6.5
111,2018-01-15,1JANATAMF,6.5,6.5
112,2018-01-14,1JANATAMF,6.5,6.6
113,2018-01-11,1JANATAMF,6.6,6.6
114,2018-01-10,1JANATAMF,6.6,6.5
115,2018-01-09,1JANATAMF,6.5,6.6
116,2018-01-08,1JANATAMF,6.6,6.5
117,2018-01-07,1JANATAMF,6.5,6.5
118,2018-01-04,1JANATAMF,6.5,6.6
119,2018-01-03,1JANATAMF,6.6,6.5
120,2018-01-02,1JANATAMF,6.5,6.6
121,2018-01-01,1JANATAMF,6.6,6.4
122,2018-06-28,1STPRIMFMF,11.9,12.4
123,2018-06-27,1STPRIMFMF,12.4,12.5
124,2018-06-26,1STPRIMFMF,12.5,12.6
125,2018-06-25,1STPRIMFMF,12.6,12.7
126,2018-06-24,1STPRIMFMF,12.7,12.7
127,2018-06-21,1STPRIMFMF,12.7,12.6
128,2018-06-20,1STPRIMFMF,12.6,12.5
129,2018-06-19,1STPRIMFMF,12.5,12.6
130,2018-06-18,1STPRIMFMF,12.6,12.6
131,2018-06-12,1STPRIMFMF,12.6,12.6
